CustomerID,Annual_Income,Total_Spend,Purchase_Frequency,Average_Order_Value,Age
C0318,44539,15288,16,1293,33
C0305,53865,21683,18,1159,34
C0269,41258,15494,14,1016,36
C0070,72259,31231,25,1295,35
C0456,73806,22417,6,3945,57
C0466,68801,23455,6,3530,52
C0155,78376,18433,6,1855,41
C0083,97735,29646,30,1025,28
C0478,55172,23279,5,4898,57
C0173,78269,11143,9,1155,48
C0322,54496,19827,18,974,31
C0091,81165,32767,23,1270,38
C0181,78385,13804,8,2132,48
C0415,28657,5867,6,798,24
C0313,51961,19616,16,764,21
C0279,57006,20892,13,1112,37
C0382,29584,7216,5,1042,22
C0473,73219,26943,3,4072,39
C0363,30377,5177,4,881,21
C0325,58067,21639,12,1284,27
C0432,69953,19410,6,3588,37
C0348,33480,17129,17,1570,35
C0087,90985,37366,23,1518,34
C0076,89863,39136,26,1297,37
C0439,66535,14534,6,3730,42
C0016,73253,36508,27,1454,34
C0250,56041,22092,14,1307,45
C0434,57076,21275,4,5068,44
C0020,63052,38760,24,1424,38
C0323,50110,14723,14,1253,36
C0333,57910,20124,18,1017,32
C0057,69929,44329,29,1446,37
C0302,21830,20501,17,1163,34
C0230,36818,14689,17,1121,36
C0332,48375,17543,17,1407,30
C0133,74339,11605,9,1249,32
C0138,71154,12183,10,1250,47
C0424,26750,6554,8,985,26
C0336,52713,14006,16,1325,24
C0026,81331,45952,28,1207,46
C0465,35093,16990,5,4350,52
C0282,42206,13891,14,882,32
C0248,32389,19657,18,1418,37
C0238,33285,17326,14,883,34
C0118,65224,13814,8,1722,43
C0043,78612,26963,26,1499,26
C0221,49183,20277,15,1415,33
C0177,77356,9224,7,1371,39
C0321,53844,21274,17,1343,35
C0154,77544,9234,10,1797,52
C0232,31651,22176,19,1133,28
C0228,45960,17705,15,1276,38
C0418,26404,8398,8,1131,30
C0204,39825,14031,13,1668,28
C0127,58725,9526,8,1895,38
C0330,47630,17073,14,1054,41
C0032,102227,35343,25,1271,26
C0114,65924,9186,9,1549,53
C0471,40617,23747,5,3967,54
C0272,48816,18929,20,1305,30
C0141,83357,11161,4,1488,33
C0058,76289,37369,21,1392,32
C0193,79790,9297,9,1767,40
C0025,73467,37934,22,1249,42
C0018,83771,29157,23,1388,39
C0266,36043,21743,15,1178,32
C0067,79136,39110,31,1495,42
C0209,53396,20945,18,1432,34
C0480,59391,21674,4,3711,51
C0095,75295,35866,25,1686,47
C0254,47085,19630,17,1199,30
C0267,34643,15980,15,1472,27
C0024,62903,27991,18,1868,44
C0223,44805,18313,15,1176,37
C0262,22212,15921,17,1165,31
C0427,24548,3644,7,634,20
C0006,77190,37020,20,1473,42
C0117,80009,12273,8,1567,46
C0046,71362,38909,23,1496,42
C0017,67846,34826,21,1586,47
C0463,53376,16195,6,3502,49
C0358,34764,6163,5,868,29
C0004,98276,30989,28,1572,38
C0219,42437,19784,13,985,30
C0406,22079,6420,6,1168,27
C0061,74250,30127,20,1554,50
C0111,77705,13636,8,1453,40
C0319,46609,15793,20,919,36
C0429,29507,4209,5,1213,25
C0030,76500,32483,27,1576,27
C0438,52141,19598,7,3376,52
C0472,59160,23617,5,4506,64
C0027,66188,30047,24,1682,32
C0008,89209,35873,26,1332,37
C0454,56366,15743,6,4371,39
C0109,75485,7553,4,1814,47
C0038,56484,33390,25,1386,30
C0158,70674,11940,8,1618,45
C0490,54994,23850,4,3604,30
C0119,75993,13203,7,1521,39
C0115,69232,18114,8,1758,41
C0176,52889,10055,5,1949,29
C0374,30973,7379,6,859,22
C0182,70847,9177,5,1367,45
C0145,50284,11386,9,1542,55
C0370,32757,6641,10,1141,29
C0391,20624,4341,2,1121,23
C0196,69900,11226,10,1662,40
C0405,20984,5960,7,877,25
C0276,41050,17611,14,1396,30
C0455,47484,28469,6,4420,50
C0142,63703,16173,5,1669,48
C0366,25784,4458,4,1032,21
C0068,92042,44484,18,1453,43
C0211,55539,10502,15,1175,31
C0169,56292,5373,7,1665,42
C0494,50931,18075,3,4374,57
C0376,23400,4994,3,971,25
C0401,39506,7447,6,896,32
C0273,45615,19901,11,1159,30
C0110,66690,15740,11,1276,57
C0249,56812,18672,11,1384,38
C0146,67031,11318,7,1623,35
C0093,71575,36070,22,1186,38
C0153,86678,11328,6,1341,33
C0368,29121,4701,5,877,25
C0468,52600,20317,4,3798,45
C0084,73781,37412,19,1345,39
C0246,52069,19321,11,1561,34
C0166,70919,12266,7,1403,52
C0164,71740,10641,8,1949,47
C0200,78773,11538,8,1296,46
C0229,49908,15034,11,1040,32
C0075,48563,36383,20,1881,48
C0479,49227,19983,5,4887,34
C0359,38061,5950,6,976,25
C0251,39995,18376,11,1340,35
C0120,82514,12560,8,1766,43
C0311,43475,19675,19,1196,38
C0300,47772,13332,13,1421,33
C0256,39627,18122,7,1118,31
C0355,32556,5081,2,1053,23
C0400,30107,4791,6,735,24
C0226,48491,17158,9,1317,37
C0354,20847,6431,7,1106,26
C0235,41135,15031,15,1240,30
C0383,22476,7190,7,1204,22
C0275,52970,17444,19,1133,40
C0037,82506,31084,16,1285,48
C0197,72301,12815,8,1458,55
C0140,69231,8762,10,1447,38
C0365,28770,6240,10,716,23
C0245,43619,13221,18,1478,27
C0440,60019,26030,3,5141,32
C0287,53242,23033,19,1292,30
C0060,91707,38283,27,1285,31
C0112,74498,11861,8,1390,44
C0090,86159,27426,22,1335,43
C0437,51623,27678,6,4079,44
C0007,98951,44431,26,1706,32
C0361,38200,5807,2,899,25
C0347,36230,20757,13,1311,37
C0339,49779,14690,16,1051,37
C0159,78945,12495,6,1362,46
C0151,75866,16622,6,1344,40
C0178,82709,16381,8,1556,25
C0394,33357,7169,5,1076,22
C0185,76819,8945,9,1670,42
C0450,59197,24745,6,4556,39
C0011,74439,25406,26,1406,42
C0381,22968,5799,7,1009,26
C0104,80630,15389,5,1384,51
C0082,84285,30714,27,1330,32
C0039,64062,39068,21,1533,28
C0315,46203,18508,13,1333,29
C0168,64919,15760,12,1584,55
C0470,60297,22796,6,4442,43
C0297,45629,18102,11,1020,27
C0475,56707,24721,6,5404,47
C0199,70557,14310,8,1802,38
C0298,29014,15690,12,1254,29
C0417,19241,5612,8,929,25
C0147,80771,5258,8,1572,31
C0393,29199,5538,4,1071,25
C0148,72970,11864,6,2114,37
C0448,43682,18184,5,3604,43
C0288,46910,16339,20,1104,33
C0124,80706,15364,9,1409,37
C0369,30616,7454,8,1099,24
C0097,83553,30581,28,1107,32
C0144,89416,8242,8,1596,41
C0240,53377,15095,16,1427,27
C0443,59484,14120,4,4496,35
C0098,83133,35769,25,1721,37
C0408,32544,6636,6,999,28
C0123,68374,16705,5,2075,43
C0184,97707,13223,9,1761,42
C0203,45477,16083,14,1243,29
C0247,50219,17941,7,1571,31
C0306,36681,14371,13,1266,31
C0299,52331,18701,19,1338,35
C0352,33389,6350,10,1113,29
C0387,28454,7549,7,1270,22
C0396,26240,8094,9,1414,23
C0285,48055,15589,17,1116,26
C0126,56951,10722,8,1863,31
C0303,61707,12019,19,1042,35
C0224,62138,17812,16,1203,29
C0419,28944,6841,4,1039,21
C0220,48393,20560,14,1280,38
C0130,65957,14735,6,1430,42
C0421,29344,7045,4,1128,25
C0290,43429,22885,13,683,31
C0445,69225,17155,8,5070,41
C0377,26941,8089,7,960,27
C0292,44702,17389,13,1519,30
C0356,36868,6542,5,1161,24
C0295,50861,16052,14,1092,33
C0397,28405,5157,2,1059,24
C0341,42619,19166,17,1007,31
C0113,72611,12700,7,1862,44
C0180,86438,15179,9,1797,47
C0308,36573,19257,20,1055,41
C0433,55188,24977,5,3487,45
C0488,58201,17405,4,4604,45
C0482,53282,20051,6,5323,59
C0423,28876,7760,5,1059,26
C0234,50178,13288,19,1128,37
C0312,46739,18228,17,1066,31
C0165,87012,10218,10,1347,41
C0137,66396,14058,9,1888,35
C0198,65212,8872,9,1537,46
C0259,49349,13792,11,1216,27
C0233,48194,20755,14,1511,29
C0116,82554,12323,10,1129,44
C0121,58306,10024,9,1371,50
C0350,38224,18965,15,1069,37
C0225,58820,15738,15,1059,41
C0403,26458,4148,7,921,25
C0398,26020,5686,12,924,22
C0128,75481,11686,9,1369,45
C0286,48440,22917,16,913,38
C0412,30734,6010,0,870,25
C0108,66360,8888,12,1380,47
C0371,30218,5031,4,759,26
C0326,35829,18425,9,1194,37
C0134,62890,10933,5,1308,27
C0453,52121,29906,5,4606,44
C0045,62258,36299,19,1356,30
C0461,53290,21490,6,3292,46
C0066,96275,37064,19,1370,37
C0284,61614,25739,13,1173,34
C0086,73979,38570,16,1480,29
C0243,53629,16196,16,1098,32
C0187,70406,11399,10,1646,53
C0384,33800,3377,5,804,28
C0160,70790,11639,9,1658,45
C0013,82904,35301,28,1615,29
C0036,65350,42750,27,1421,38
C0029,72792,35498,21,1575,44
C0171,75184,15115,9,1456,43
C0143,80298,11351,7,1219,47
C0399,35380,3475,8,996,17
C0343,43800,17982,16,1279,32
C0222,40410,18844,17,1090,25
C0096,62438,36927,21,1356,41
C0052,75379,36732,28,1745,44
C0241,58471,18316,15,1101,32
C0485,46392,17651,2,5011,41
C0379,27853,6433,8,1095,20
C0179,60214,14339,8,1496,31
C0042,82056,41536,24,1499,38
C0499,73897,19610,2,5075,51
C0422,30384,5499,3,979,25
C0207,52162,15936,15,1336,33
C0283,42427,17735,21,1258,27
C0255,40598,18147,13,1169,34
C0413,38061,5345,7,901,27
C0005,77190,34194,18,1446,35
C0257,44796,15894,13,1325,33
C0449,52894,20372,6,4152,39
C0101,84262,13892,7,1735,45
C0227,45304,12921,12,1178,30
C0430,30094,6214,7,1139,20
C0214,39486,13064,17,1047,32
C0172,91764,6817,7,1300,37
C0099,80061,35291,27,1427,33
C0293,50821,16255,21,1499,36
C0216,46583,25319,11,1306,48
C0062,77772,38935,24,1757,38
C0048,92685,28398,21,1169,32
C0033,79838,29688,24,1465,36
C0268,54287,18837,12,1314,29
C0328,38966,19180,12,1410,36
C0201,56195,15026,13,1256,31
C0447,47702,22057,6,4184,47
C0028,84508,32169,20,1608,42
C0425,30843,5839,8,1040,24
C0231,42941,18540,20,1330,34
C0261,51174,14268,15,994,39
C0289,42928,19707,15,989,33
C0163,83711,11918,13,1887,43
C0426,32210,6672,7,913,29
C0139,85063,8775,11,1746,44
C0063,66724,40793,11,1428,34
C0136,75474,7863,9,1559,38
C0129,77597,12139,7,1395,53
C0477,58833,14886,6,3620,43
C0009,74366,36288,26,1559,39
C0327,47421,24958,21,909,29
C0464,67356,21952,8,4010,35
C0065,89750,39817,23,1588,37
C0301,52984,18993,12,1182,34
C0015,59301,34038,23,1711,40
C0157,70124,12035,9,1292,44
C0041,88862,36137,21,1286,40
C0380,26538,6390,6,814,27
C0469,51137,11583,6,4524,50
C0404,22431,5111,7,1023,24
C0217,39789,22153,12,1501,33
C0280,51802,24632,20,998,30
C0435,43659,19403,4,4022,47
C0431,53417,20567,8,3782,50
C0338,35179,19524,20,1134,27
C0237,35194,15053,13,945,27
C0208,50081,24757,15,1269,40
C0213,61602,13831,19,1162,36
C0296,44354,14328,16,1284,42
C0458,56663,16679,4,3845,47
C0252,48166,16712,10,1101,34
C0489,52182,24665,6,4634,45
C0487,68357,24717,4,4731,42
C0304,43883,19122,17,1051,38
C0351,16484,7062,9,1120,28
C0270,47772,24435,12,1534,35
C0202,52397,11540,18,1506,39
C0162,95754,10633,8,1121,51
C0044,76387,35923,27,1349,37
C0218,41129,19692,14,1271,28
C0402,29697,8423,7,939,27
C0191,75716,11098,9,1705,43
C0310,60312,17833,14,1151,27
C0260,42035,23249,16,1466,38
C0106,70129,16692,9,1423,42
C0054,87340,36161,28,1418,41
C0390,36702,5384,6,926,27
C0002,78341,32897,26,1338,34
C0442,57219,25163,4,4071,56
C0483,61478,19297,6,3726,61
C0050,58844,36485,26,1407,32
C0420,25064,5557,7,1029,21
C0081,77364,38128,24,1282,37
C0206,48148,21029,12,883,27
C0035,89871,30403,33,1645,47
C0264,31082,20685,12,864,29
C0428,37055,4310,7,980,23
C0367,40855,7899,1,1000,23
C0092,91624,39282,22,1548,47
C0340,50609,11541,17,1216,41
C0474,42731,17716,4,4237,34
C0053,71877,31600,32,1622,32
C0346,45125,17703,13,1018,33
C0265,42100,17115,19,1185,38
C0242,41329,13998,15,1660,39
C0014,57041,47316,27,1613,46
C0316,47920,13759,18,1149,32
C0089,73643,30766,25,1640,48
C0388,26239,7690,6,1186,27
C0274,34736,19241,10,1027,27
C0167,54619,11363,8,1571,37
C0329,44487,18576,14,1068,34
C0493,62941,26776,6,4262,41
C0135,68482,9470,10,1491,45
C0307,49902,23018,11,1364,35
C0481,71239,23391,6,4891,40
C0320,53405,21708,17,1105,30
C0244,44692,18959,19,1233,34
C0055,92372,36465,18,1446,35
C0364,21990,6139,6,954,18
C0051,83889,36252,19,1512,38
C0457,40531,18405,6,4262,40
C0175,83294,8481,9,1492,39
C0446,45864,24923,10,5269,47
C0190,66439,13111,5,1777,42
C0497,51070,25134,4,4743,43
C0188,66502,11063,9,1410,48
C0170,71485,14729,12,2003,32
C0059,83975,29043,26,1515,35
C0049,84123,37610,31,1306,35
C0345,43615,18245,16,775,27
C0236,57592,20822,14,1368,30
C0253,48952,18367,17,1053,33
C0022,77291,30453,17,1569,49
C0314,48965,15238,21,1359,36
C0460,55061,25687,3,5021,49
C0161,77898,10566,7,1551,46
C0277,32547,18131,13,1539,38
C0444,65261,25570,5,4701,51
C0192,70223,14898,8,1627,28
C0386,22712,3506,5,1028,30
C0294,45416,14956,15,1118,25
C0414,34484,5836,6,954,27
C0344,46005,20515,11,1363,38
C0258,54382,16011,16,1372,39
C0309,40010,15885,14,1469,31
C0150,68960,13741,5,1367,44
C0131,81386,7769,8,1164,38
C0152,73443,14816,5,1361,44
C0360,36575,5688,5,888,24
C0100,77185,29285,27,1698,30
C0373,26887,4210,5,885,27
C0088,83945,34636,26,1825,32
C0459,73212,21244,4,4934,49
C0331,47571,18401,16,1236,31
C0215,58888,21068,15,1096,31
C0467,42184,25548,3,3847,39
C0122,80434,13179,5,1852,35
C0500,52777,27689,6,4200,48
C0021,97588,38955,33,1469,50
C0189,83303,13777,8,1648,40
C0072,98456,30921,18,1550,24
C0107,69076,10066,5,1556,32
C0271,44625,14437,14,1420,31
C0349,57756,18802,19,1204,33
C0436,49453,27285,6,5320,42
C0103,61014,14174,7,1524,42
